 Iteration 23800, loss = 3.64204
 Iteration 23900, loss = 3.27081
 Iteration 24000, loss = 3.63056
 Iteration 24100, loss = 3.02631
 Iteration 24200, loss = 3.21389
 Iteration 24300, loss = 2.51058
 Iteration 24400, loss = 3.34547
 Iteration 24500, loss = 4.37851
 Iteration 24600, loss = 3.36876
 Iteration 24700, loss = 4.61564
 Iteration 24800, loss = 3.40918
 Iteration 24900, loss = 4.22255
 Iteration 25000, loss = 3.23182
 Iteration 25100, loss = 3.91178
 Iteration 25200, loss = 3.06922
 Iteration 25300, loss = 3.60333
 Iteration 25400, loss = 2.93376
 Iteration 25500, loss = 3.31608
 Iteration 25600, loss = 2.56621
 Iteration 25700, loss = 3.45143
 Iteration 25800, loss = 2.64549
 Iteration 25900, loss = 3.8466
 Iteration 26000, loss = 3.06469
 Iteration 26100, loss = 3.67977
 Iteration 26200, loss = 3.11725
 Iteration 26300, loss = 3.32925
 Iteration 26400, loss = 2.99107
 Iteration 26500, loss = 3.03248
 Iteration 26600, loss = 1.99106
 Iteration 26700, loss = 3.34243
 Iteration 26800, loss = 5.08746
 Iteration 26900, loss = 3.38458
 Iteration 27000, loss = 4.34584
 Iteration 27100, loss = 3.33201
 Iteration 27200, loss = 4.04936
 Iteration 27300, loss = 3.02384
 Iteration 27400, loss = 3.76152
 Iteration 27500, loss = 3.03436
 Iteration 27600, loss = 3.24735
 Iteration 27700, loss = 2.83559
 Iteration 27800, loss = 3.48014
 Iteration 27900, loss = 2.4982
 Iteration 28000, loss = 3.53576
 Iteration 28100, loss = 2.73858
 Iteration 28200, loss = 3.53518
 Iteration 28300, loss = 3.19037
 Iteration 28400, loss = 3.50191
 Iteration 28500, loss = 2.99353
 Iteration 28600, loss = 3.12721
 Iteration 28700, loss = 2.63453
 Iteration 28800, loss = 3.13351
 Iteration 28900, loss = 3.41038
 Iteration 29000, loss = 3.22923
 Iteration 29100, loss = 4.89535
 Iteration 29200, loss = 3.41514
 Iteration 29300, loss = 4.26201
 Iteration 29400, loss = 3.16531
 Iteration 29500, loss = 3.82376
 Iteration 29600, loss = 2.89312
 Iteration 29700, loss = 3.53732
 Iteration 29800, loss = 2.88711
 Iteration 29900, loss = 3.1092
 Iteration 30000, loss = 2.41162
 Iteration 30100, loss = 3.40255
 Iteration 30200, loss = 2.55067
 Iteration 30300, loss = 3.62666
 Iteration 30400, loss = 2.91528
 Iteration 30500, loss = 3.54074
 Iteration 30600, loss = 3.01766
 Iteration 30700, loss = 3.39166
 Iteration 30800, loss = 2.94522
 Iteration 30900, loss = 2.9266
 Iteration 31000, loss = 2.1483
 Iteration 31100, loss = 3.22736
 Iteration 31200, loss = 4.78118
 Iteration 31300, loss = 3.29203
 Iteration 31400, loss = 4.47541
 Iteration 31500, loss = 3.36143
 Iteration 31600, loss = 4.08019
 Iteration 31700, loss = 3.01197
 Iteration 31800, loss = 3.7564
 Iteration 31900, loss = 2.92444
 Iteration 32000, loss = 3.39089
 Iteration 32100, loss = 2.80066
 Iteration 32200, loss = 3.27683
 Iteration 32300, loss = 2.41103
 Iteration 32400, loss = 3.42558
 Iteration 32500, loss = 2.4931
 Iteration 32600, loss = 3.59071
 Iteration 32700, loss = 2.91965
 Iteration 32800, loss = 3.43136
 Iteration 32900, loss = 2.97496
 Iteration 33000, loss = 3.09415
 Iteration 33100, loss = 2.6744
 Iteration 33200, loss = 2.99398
 Iteration 33300, loss = 2.53255
 Iteration 33400, loss = 3.20871
 Iteration 33500, loss = 5.31826
 Iteration 33600, loss = 3.25591
 Iteration 33700, loss = 4.17741
 Iteration 33800, loss = 3.08324
 Iteration 33900, loss = 3.76707
 Iteration 34000, loss = 2.89185
 Iteration 34100, loss = 3.59809
 Iteration 34200, loss = 3.00762
 Iteration 34300, loss = 3.11364
 Iteration 34400, loss = 2.45214
 Iteration 34500, loss = 3.26845
 Iteration 34600, loss = 2.33565
 Iteration 34700, loss = 3.39867
 Iteration 34800, loss = 2.75333
 Iteration 34900, loss = 3.38164
 Iteration 35000, loss = 2.98955
 Iteration 35100, loss = 3.2831
 Iteration 35200, loss = 2.77792
 Iteration 35300, loss = 2.92228
 Iteration 35400, loss = 2.21069
 Iteration 35500, loss = 3.11044
 Iteration 35600, loss = 3.8927
 Iteration 35700, loss = 3.20973
 Iteration 35800, loss = 4.4652
 Iteration 35900, loss = 3.32773
 Iteration 36000, loss = 3.97447
 Iteration 36100, loss = 2.93177
 Iteration 36200, loss = 3.63995
 Iteration 36300, loss = 2.76592
 Iteration 36400, loss = 3.29208
 Iteration 36500, loss = 2.81382
 Iteration 36600, loss = 3.18377
 Iteration 36700, loss = 2.29128
 Iteration 36800, loss = 3.25643
 Iteration 36900, loss = 2.43206
 Iteration 37000, loss = 3.50243
 Iteration 37100, loss = 2.8803
 Iteration 37200, loss = 3.44086
 Iteration 37300, loss = 2.84213
 Iteration 37400, loss = 3.13351
 Iteration 37500, loss = 2.75525
 Iteration 37600, loss = 2.86059
 Iteration 37700, loss = 1.8288
 Iteration 37800, loss = 3.12572
 Iteration 37900, loss = 5.09219
 Iteration 38000, loss = 3.1434
 Iteration 38100, loss = 4.12411
 Iteration 38200, loss = 3.16863
 Iteration 38300, loss = 3.81754
 Iteration 38400, loss = 2.87454
 Iteration 38500, loss = 3.6645
 Iteration 38600, loss = 2.91633
 Iteration 38700, loss = 2.98293
 Iteration 38800, loss = 2.55519
 Iteration 38900, loss = 3.22258
 Iteration 39000, loss = 2.33924
 Iteration 39100, loss = 3.42832
 Iteration 39200, loss = 2.53029
 Iteration 39300, loss = 3.32861
 Iteration 39400, loss = 2.90333
 Iteration 39500, loss = 3.23282
 Iteration 39600, loss = 2.83032
 Iteration 39700, loss = 2.90762
 Iteration 39800, loss = 2.36017
 Iteration 39900, loss = 2.85958
 Iteration 40000, loss = 3.23083
 Iteration 40100, loss = 3.13329
 Iteration 40200, loss = 4.6508
 Iteration 40300, loss = 3.2671
 Iteration 40400, loss = 4.12188
